Lattice Width 50;Lattice Height 50;Lattice Depth 50;Total cells
50;50;50;125000

Stream;Collide.
1.2048;3.11472
1.20912;2.9793
1.19472;2.96128
1.2104;2.98781
1.19808;3.02051
1.24272;2.92365
1.20714;2.94992
1.20042;2.94234
1.19002;3.01392
1.19562;2.94291
1.20298;2.94074
1.20698;2.92854
1.2079;2.97613
1.21258;2.97261
1.19712;2.972
1.19891;2.95187
1.21466;2.91949
1.19418;2.90301
1.20064;2.90758
1.19504;2.92125
1.2016;2.98083
1.20829;2.87306
1.21066;2.95066
1.19635;2.91386
1.20301;2.88749
1.20419;2.9168
1.20422;2.94288
1.25789;2.89334
1.19558;2.8785
1.20208;2.89846
1.22102;2.90704
1.20528;2.92653
1.20858;2.87088
1.20634;2.89478
1.20848;2.89651
1.20339;2.88986
1.19872;2.88461
1.19277;2.90602
1.19469;2.98355
1.21552;2.9
1.21158;2.95766
1.24;2.86618
1.19856;2.97094
1.26077;2.90816
1.2025;2.87766
1.19459;2.90554
1.19648;2.90547
1.20006;2.90387
1.20109;2.90563
1.20861;2.9031
1.20118;2.90749
1.19789;2.92336
1.19859;2.89296
1.20598;2.99027
1.21738;2.93574
1.20627;2.9512
1.20154;2.9271
1.2032;2.88022
1.2049;2.96298
1.19702;2.89405
1.19366;2.95286
1.21389;2.88518
1.20416;2.93427
1.24566;2.91123
1.20042;2.96198
1.20682;2.88861
1.20019;2.96182
1.21712;2.8872
1.19578;2.9488
1.21466;2.89069
1.18627;2.97437
1.24618;2.85446
1.19843;2.88954
1.20198;2.87965
1.20371;2.91898
1.19238;2.89315
1.20112;2.90218
1.19885;2.90912
1.20384;2.90096
1.20525;2.98362
1.2105;2.91459
1.2015;2.99555
1.21226;2.88643
1.19645;2.94496
1.24419;2.88378
1.19843;2.92848
1.23798;2.87885
1.19798;2.92016
1.20202;2.90563
1.19616;2.9135
1.2015;2.87638
1.19792;2.89606
1.20694;2.87261
1.19552;2.9207
1.20742;2.87693
1.19824;2.90922
1.22269;2.91235
1.20874;2.96486
