Lattice Width 15;Lattice Height 15;Lattice Depth 15
Stream;Collide.
0.034016;0.353472
0.034752;0.378272
0.0344;0.38064
0.03536;0.365184
0.035264;0.37104
0.034624;0.363136
0.033952;0.353408
0.033888;0.366656
0.039168;0.354368
0.034912;0.355808
0.03568;0.355168
0.034208;0.356832
0.035712;0.353632
0.035552;0.359392
0.035392;0.354912
0.035072;0.364224
0.035328;0.362592
0.035104;0.347488
0.034944;0.356544
0.034464;0.35264
0.0352;0.35888
0.036064;0.355328
0.034688;0.360352
0.035328;0.352608
0.035808;0.357184
0.034528;0.358144
0.035872;0.35728
0.034464;0.354176
0.034656;0.354336
0.0352;0.354208
0.034944;0.364896
0.035936;0.362432
0.035744;0.349376
0.034912;0.352256
0.034848;0.354496
0.035008;0.356896
0.03536;0.367136
0.03504;0.352512
0.034624;0.36864
0.035616;0.35488
0.034784;0.360768
0.039616;0.348352
0.0344;0.357312
0.0352;0.362272
0.034688;0.361152
0.035008;0.367456
0.033184;0.362144
0.035776;0.361856
0.035104;0.356032
0.034688;0.352448
0.034816;0.355904
0.035296;0.366752
0.03584;0.353664
0.035136;0.356512
0.035136;0.358848
0.034656;0.357472
0.034624;0.355424
0.035648;0.362464
0.036992;0.359808
0.035168;0.352448
0.03552;0.35776
0.035392;0.361952
0.034368;0.353376
0.034816;0.356032
0.040672;0.35984
0.0344;0.362848
0.035072;0.368032
0.034624;0.361344
0.035424;0.35392
0.040704;0.362848
0.034656;0.35328
0.034688;0.355968
0.037728;0.349696
0.034816;0.360704
0.035456;0.364672
0.041696;0.364256
0.03488;0.358688
0.035488;0.355872
0.034912;0.35216
0.035456;0.361312
0.034976;0.368064
0.040192;0.355616
0.035296;0.348128
0.035168;0.365472
0.034784;0.36096
0.035456;0.357312
0.035136;0.368576
0.035296;0.363648
0.040672;0.35424
0.035104;0.352064
0.034784;0.36128
0.038016;0.353984
0.039392;0.360448
0.035232;0.357888
0.03472;0.361056
0.03488;0.350912
0.035936;0.351488
0.03552;0.35792
0.034464;0.3544
0.034304;0.367392
0.035392;0.352384
0.034592;0.362368
0.0352;0.3584
0.035392;0.358144
0.034944;0.359456
0.035616;0.357504
0.034656;0.363712
0.034848;0.351936
0.03568;0.355648
0.035648;0.370528
0.0352;0.365664
0.034528;0.369088
0.034816;0.352224
0.040096;0.356192
0.034688;0.355648
0.035136;0.358752
0.034976;0.357248
0.034752;0.3616
0.0344;0.367968
0.034944;0.35328
0.03536;0.362368
0.035872;0.360768
0.035296;0.356992
0.034912;0.367008
0.034848;0.347968
0.034752;0.35664
0.034944;0.366816
0.040576;0.358528
0.034912;0.358816
0.034656;0.36576
0.035264;0.355424
0.03504;0.36416
0.034912;0.352192
0.034976;0.352032
0.034848;0.358688
0.034464;0.358208
0.035168;0.356608
0.035392;0.359744
0.034336;0.358592
0.034752;0.371808
0.034976;0.353696
0.035072;0.355392
0.037856;0.354464
0.034912;0.358048
0.034848;0.353024
0.035072;0.367104
0.035552;0.356992
0.034688;0.357984
0.034784;0.35072
0.035328;0.37008
0.034816;0.355936
0.035552;0.354176
0.041984;0.352416
0.035712;0.35184
0.03504;0.357824
0.034304;0.350272
0.035072;0.361376
0.035712;0.357888
0.039968;0.367456
0.034848;0.360992
0.034816;0.369984
0.034912;0.352512
0.035488;0.35488
0.034368;0.35296
0.035008;0.356768
0.03504;0.358688
0.034432;0.350944
0.035648;0.353952
0.035456;0.365056
0.035648;0.350624
0.03472;0.358112
0.034688;0.356
0.03488;0.359744
0.036384;0.360544
0.035232;0.363968
0.035168;0.359744
0.035008;0.352224
0.034624;0.357184
0.034528;0.365184
0.034496;0.36256
0.034432;0.350144
0.034784;0.35824
0.03504;0.356864
0.0352;0.357856
0.0328;0.350016
0.031456;0.353568
0.031776;0.357344
0.031616;0.37216
0.031744;0.374624
0.032256;0.368288
0.031872;0.36384
0.031616;0.378816
0.031968;0.362976
0.032192;0.365856
0.031776;0.356928
0.03232;0.355808
0.032;0.369952
0.031648;0.354304
0.032;0.364992
0.032448;0.36656
0.0328;0.365888
0.032576;0.358464
0.032064;0.361856
0.032032;0.360672
0.032096;0.356
0.031712;0.361056
0.032096;0.35392
0.031936;0.348064
0.032128;0.353152
0.031872;0.373504
0.031872;0.364544
0.032064;0.357984
0.031904;0.35552
0.03216;0.364416
0.031808;0.356256
0.03136;0.361408
0.031488;0.357824
0.031744;0.369952
0.03168;0.36016
0.03168;0.36464
0.031808;0.361376
0.03136;0.360928
0.03664;0.356224
0.032256;0.364448
0.031808;0.357088
0.031872;0.359008
0.031744;0.354304
0.03168;0.361056
0.03184;0.368544
0.03184;0.356896
0.031872;0.349376
0.031776;0.359712
0.031808;0.362304
0.031904;0.367872
0.036736;0.357152
0.038336;0.360352
0.031744;0.362208
0.031968;0.365536
0.03184;0.357376
0.031424;0.349344
0.034976;0.368832
0.032064;0.355488
0.032032;0.363808
0.03216;0.357792
0.032032;0.357088
0.032032;0.356128
0.031584;0.3576
0.031904;0.347552
0.031808;0.35392
0.032192;0.360064
0.031872;0.360544
0.031904;0.361248
0.031712;0.352608
0.032608;0.352608
0.031968;0.36608
0.0376;0.359584
0.031712;0.359296
0.032512;0.353888
0.038624;0.357792
0.031872;0.356128
0.031872;0.357408
0.03184;0.353952
0.032064;0.354176
0.031712;0.353184
0.031808;0.353024
0.031744;0.356032
0.03184;0.359488
0.03216;0.358944
0.031744;0.352416
0.032096;0.357088
0.031776;0.369152
0.032416;0.359232
0.032;0.365184
0.03152;0.3592
0.031488;0.368064
0.031776;0.362368
0.03232;0.351072
0.03168;0.37456
0.038752;0.353504
0.03152;0.352928
0.038976;0.351552
0.031936;0.356576
0.032352;0.354528
0.032192;0.365312
0.032;0.368032
0.032352;0.362432
0.031712;0.3552
0.031584;0.360768
0.031552;0.357568
0.03232;0.365344
0.031808;0.372416
0.03904;0.360256
0.032;0.355872
0.03168;0.363584
0.032416;0.353216
0.032576;0.3656
0.031552;0.3536
0.032128;0.353664
0.032576;0.35984
0.031552;0.356448
0.03216;0.36256
0.031296;0.354912
0.036864;0.360096
0.031392;0.353696
0.031744;0.3648
0.032032;0.365184
0.031936;0.357184
0.03152;0.352736
0.031648;0.366496
0.031872;0.354944
0.031744;0.369248
0.031776;0.37072
0.031424;0.357856
0.032032;0.352448
0.031872;0.351968
0.031488;0.352224
0.031488;0.36336
0.031424;0.3512
0.03184;0.35792
0.031488;0.3632
0.031552;0.36848
0.032128;0.367968
0.032064;0.374784
0.032192;0.359904
0.03168;0.353664
0.03216;0.35792
0.032;0.36896
0.031936;0.360096
0.03136;0.361504
0.031744;0.356416
0.031744;0.36544
0.033248;0.350816
0.037216;0.361664
0.031936;0.3608
0.032;0.354368
0.031872;0.359392
0.031808;0.366688
0.031808;0.361824
0.033056;0.361632
0.032032;0.356544
0.032224;0.357024
0.032032;0.353312
0.032;0.357344
0.031232;0.36464
0.031872;0.353472
0.031712;0.36816
0.032;0.364032
0.037152;0.355936
0.031776;0.352096
0.032128;0.365024
0.032096;0.357856
0.03168;0.360928
0.031264;0.356352
0.03232;0.362912
0.031296;0.358848
0.031776;0.352672
0.032288;0.359296
0.031808;0.35792
0.031808;0.356384
0.032896;0.36544
0.032224;0.373632
0.03152;0.353632
0.032;0.360288
0.032448;0.363936
0.031616;0.36576
0.031776;0.358464
0.03168;0.353056
0.031712;0.350784
0.03232;0.356064
0.031904;0.363552
0.032384;0.351872
0.032352;0.362048
0.032064;0.352352
0.031776;0.357664
0.031776;0.363808
0.032448;0.356736
0.031872;0.366048
0.032;0.35296
0.031488;0.364224
0.031584;0.349184
0.032256;0.357888
0.032;0.366016
0.031712;0.348832
0.032096;0.36448
0.031744;0.36336
0.031968;0.35808
0.032192;0.354112
0.031776;0.366752
0.03216;0.352128
0.032096;0.359904
0.031744;0.364384
0.032384;0.362688
0.03216;0.363744
0.031904;0.360416
0.03216;0.360192
0.031584;0.357248
0.03616;0.35856
0.03184;0.360672
0.032032;0.3608
0.031776;0.362528
0.0328;0.35632
0.031936;0.356928
0.032064;0.357472
0.039168;0.356256
0.031968;0.349248
0.031424;0.364576
0.03216;0.353984
0.032192;0.361856
0.03152;0.354752
0.031616;0.364192
0.03168;0.3512
0.031712;0.355904
0.031904;0.365472
0.031744;0.357664
0.03232;0.363424
0.03152;0.373248
0.031808;0.359552
0.032128;0.364704
0.031904;0.361856
0.032;0.357312
0.032256;0.355072
0.03168;0.3568
0.031616;0.353952
0.03184;0.352832
0.032128;0.362144
0.031808;0.368064
0.031936;0.36384
0.031744;0.353632
0.031808;0.364
0.032064;0.369472
0.03136;0.361184
0.033984;0.367456
0.031552;0.361472
0.032384;0.362688
0.031776;0.368768
0.03168;0.356256
0.03184;0.357152
0.031936;0.360608
0.031712;0.357248
0.032032;0.36032
0.031904;0.357696
0.032608;0.364448
0.032672;0.353952
0.032384;0.36288
0.032192;0.370272
0.031776;0.37008
0.031872;0.367904
0.031712;0.359488
0.031744;0.370528
0.032096;0.357824
0.031776;0.36656
0.032352;0.354144
0.032704;0.356032
0.03216;0.349984
0.03168;0.357824
0.031904;0.371968
0.032448;0.35344
0.031904;0.352992
0.031648;0.35392
0.033056;0.35632
0.032416;0.359104
0.031456;0.356896
0.032224;0.358016
0.031936;0.358624
0.03184;0.354528
0.03184;0.356032
0.032832;0.357792
0.031744;0.358688
0.031712;0.353888
0.032032;0.35808
0.031616;0.36896
0.032096;0.35936
0.036896;0.352128
0.032128;0.358752
0.031776;0.365312
0.031712;0.374144
0.031808;0.358976
0.031456;0.360032
0.032096;0.367648
0.031648;0.360704
0.032224;0.354592
0.031808;0.368448
0.032096;0.359968
0.031968;0.375264
0.032;0.36592
0.03888;0.352352
0.032384;0.354944
0.036608;0.35424
0.031648;0.357056
0.032416;0.36208
0.03232;0.359488
0.031712;0.366976
0.032064;0.365376
0.03152;0.35504
0.031808;0.36048
0.03232;0.356608
0.031456;0.354432
0.037536;0.359872
0.031648;0.357312
0.032096;0.358144
0.03232;0.35728
0.031488;0.36608
0.032032;0.360608
0.032064;0.360864
0.031744;0.359808
0.031872;0.362496
0.031712;0.360736
0.031616;0.35408
0.0312;0.366528
0.032032;0.362272
0.032288;0.36528
0.03264;0.350624
0.031936;0.367712
0.032;0.352096
0.031776;0.364992
0.034336;0.354528
0.032096;0.3568
0.031968;0.365632
0.034592;0.360192
0.035488;0.356704
0.03536;0.351264
0.034752;0.35616
0.034752;0.359488
0.040032;0.359392
0.035104;0.361152
0.035904;0.358528
0.035104;0.353632
0.035616;0.357408
0.035136;0.356288
0.035584;0.356672
0.035168;0.367072
0.034752;0.35728
0.035744;0.347648
0.035296;0.361344
0.034592;0.356032
0.036352;0.358336
0.035552;0.3584
0.034784;0.362272
0.035968;0.365248
0.035744;0.358048
0.039712;0.35904
0.034912;0.366048
0.034848;0.364128
0.034976;0.35824
0.0352;0.362016
0.042336;0.365216
0.034912;0.360768
0.035456;0.361696
0.040544;0.349472
0.035392;0.350336
0.034848;0.355072
0.035456;0.352928
0.035264;0.353056
0.035072;0.363936
0.037696;0.359776
0.035904;0.368544
0.036512;0.367392
0.03536;0.368032
0.035168;0.367552
0.035808;0.360352
0.034976;0.353888
0.035008;0.354304
0.035296;0.355584
0.035008;0.354944
0.034976;0.357152
0.034912;0.368448
0.034944;0.359776
0.03504;0.350112
0.035392;0.3576
0.036;0.362912
0.034688;0.368288
0.035712;0.367072
0.035488;0.351104
0.034688;0.358912
0.034912;0.35632
0.03488;0.365792
0.034528;0.36304
0.035552;0.367456
0.034304;0.362048
0.042272;0.356192
0.034592;0.36096
0.039584;0.354016
0.03536;0.361216
0.035104;0.35216
0.035552;0.354784
0.034592;0.353824
0.03472;0.356256
0.036096;0.359872
0.034624;0.357536
0.035264;0.35392
0.034752;0.356032
0.0352;0.361728
0.037152;0.35936
0.035232;0.347232
0.03536;0.362208
0.035584;0.3624
0.034304;0.353344
0.035072;0.367296
0.035008;0.356448
0.03536;0.36592
0.035552;0.355392
0.034624;0.358656
0.039968;0.357088
0.0344;0.35728
0.03488;0.371968
0.03504;0.372128
0.035328;0.350048
0.035712;0.353792
0.035264;0.352224
0.034784;0.358688
0.035456;0.350176
0.034816;0.3552
