Lattice Width 15;Lattice Height 15;Lattice Depth 15
Stream;Collide.
0.03456;0.362208
0.035328;0.36736
0.035072;0.384064
0.034304;0.361376
0.034528;0.36
0.034848;0.366592
0.033664;0.35712
0.03584;0.358304
0.035552;0.363744
0.03472;0.359776
0.034976;0.352384
0.03568;0.358048
0.035776;0.355392
0.034464;0.362624
0.034464;0.365088
0.035328;0.380576
0.034752;0.360864
0.034432;0.357792
0.034848;0.357024
0.0352;0.363104
0.035328;0.352864
0.03536;0.368352
0.03504;0.362976
0.034976;0.357984
0.03568;0.369376
0.034976;0.353184
0.035008;0.360224
0.035392;0.353984
0.035072;0.359104
0.035072;0.364192
0.03456;0.355072
0.035008;0.370816
0.034816;0.358176
0.035584;0.361408
0.035072;0.350976
0.03552;0.355008
0.034912;0.359392
0.034592;0.352896
0.035296;0.35968
0.03536;0.350624
0.03472;0.354752
0.034336;0.355936
0.034848;0.37136
0.034304;0.36384
0.034816;0.355456
0.035328;0.361184
0.032576;0.356832
0.035008;0.352288
0.035168;0.367104
0.03456;0.352384
0.034848;0.354592
0.034688;0.352896
0.035712;0.361184
0.03536;0.354016
0.034816;0.350688
0.034368;0.3632
0.03536;0.354048
0.03504;0.356992
0.035776;0.359104
0.03536;0.353568
0.034464;0.359328
0.035008;0.353632
0.035648;0.3568
0.034656;0.349344
0.035008;0.3592
0.03472;0.359776
